task_name,layer,score
principle_A_case_2,11,0.97
principle_A_case_2,12,0.875
ellipsis_n_bar_2,0,0.349
ellipsis_n_bar_2,1,0.247
ellipsis_n_bar_2,2,0.315
ellipsis_n_bar_2,3,0.371
ellipsis_n_bar_2,4,0.417
ellipsis_n_bar_2,5,0.485
ellipsis_n_bar_2,6,0.436
ellipsis_n_bar_2,7,0.497
ellipsis_n_bar_2,8,0.568
ellipsis_n_bar_2,9,0.575
ellipsis_n_bar_2,10,0.605
ellipsis_n_bar_2,11,0.578
ellipsis_n_bar_2,12,0.556
sentential_subject_island,0,0.437
sentential_subject_island,1,0.492
sentential_subject_island,2,0.48
sentential_subject_island,3,0.388
sentential_subject_island,4,0.321
sentential_subject_island,5,0.33
sentential_subject_island,6,0.289
sentential_subject_island,7,0.24
sentential_subject_island,8,0.259
sentential_subject_island,9,0.299
sentential_subject_island,10,0.367
sentential_subject_island,11,0.372
sentential_subject_island,12,0.32
anaphor_number_agreement,0,0.529
anaphor_number_agreement,1,0.601
anaphor_number_agreement,2,0.422
anaphor_number_agreement,3,0.703
anaphor_number_agreement,4,0.842
anaphor_number_agreement,5,0.96
anaphor_number_agreement,6,0.977
anaphor_number_agreement,7,0.984
anaphor_number_agreement,8,0.965
anaphor_number_agreement,9,0.957
anaphor_number_agreement,10,0.963
anaphor_number_agreement,11,0.962
anaphor_number_agreement,12,0.76
irregular_past_participle_adjectives,0,0.603
irregular_past_participle_adjectives,1,0.378
irregular_past_participle_adjectives,2,0.476
irregular_past_participle_adjectives,3,0.835
irregular_past_participle_adjectives,4,0.911
irregular_past_participle_adjectives,5,0.978
irregular_past_participle_adjectives,6,0.948
irregular_past_participle_adjectives,7,0.933
irregular_past_participle_adjectives,8,0.929
irregular_past_participle_adjectives,9,0.97
irregular_past_participle_adjectives,10,0.99
irregular_past_participle_adjectives,11,0.986
irregular_past_participle_adjectives,12,0.923
determiner_noun_agreement_with_adj_irregular_2,0,0.537
